dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
yacht,outer_2,greedy,4,0.1,0.1,3,246,quantile,0,0.8348311118851331,33.94459697778441,16246.503538976318,0.000720977783203125,20.667445295318423,0.9019128522103408,29.83932791769605,0.8997359139376033,2
yacht,outer_2,greedy,4,0.1,0.01,3,246,quantile,0,0.9223812337324784,16.048840321944088,15075.57609842921,0.0006940364837646484,11.826578779293706,0.9438713704575088,24.664915137953095,0.9171226248481676,2
yacht,outer_2,greedy,4,0.1,0.001,3,246,quantile,0,0.985294046448388,3.0011289894264004,11566.902285718841,0.0006899833679199219,2.438319523485537,0.9884278001445727,7.224049459547681,0.9757262389176818,2
yacht,outer_2,greedy,4,0.1,0.0001,3,246,quantile,0,0.9861881260345496,2.795047723476058,11000.166791865984,0.0006921291351318359,2.3066182374395714,0.9890528509587342,6.741051758780338,0.9773491750364595,2
yacht,outer_2,greedy,4,0.1,1e-05,3,246,quantile,0,0.9861905315550895,2.7919131292380737,10940.421767043512,0.0006895065307617188,2.305155049263546,0.9890597952110506,6.713219380998373,0.9774426955047806,2
yacht,outer_2,greedy,4,0.08,0.1,3,246,quantile,0,0.8348311118851331,33.94459697778441,14173.167059236483,0.0006670951843261719,20.667445295318423,0.9019128522103408,29.83932791769605,0.8997359139376033,2
yacht,outer_2,greedy,4,0.08,0.01,3,246,quantile,0,0.9223812337324784,16.048840321944088,13002.239618689375,0.0006976127624511719,11.826578779293706,0.9438713704575088,24.664915137953095,0.9171226248481676,2
yacht,outer_2,greedy,4,0.08,0.001,3,246,quantile,0,0.985294046448388,3.0011289894264004,9493.565805979004,0.0007162094116210938,2.438319523485537,0.9884278001445727,7.224049459547681,0.9757262389176818,2
yacht,outer_2,greedy,4,0.08,0.0001,3,246,quantile,0,0.9861881260345496,2.795047723476058,8926.830312126147,0.0007038116455078125,2.3066182374395714,0.9890528509587342,6.741051758780338,0.9773491750364595,2
yacht,outer_2,greedy,4,0.08,1e-05,3,246,quantile,0,0.9861905315550895,2.7919131292380737,8867.085287303675,0.000701904296875,2.305155049263546,0.9890597952110506,6.713219380998373,0.9774426955047806,2
yacht,outer_2,greedy,4,0.05,0.1,3,246,quantile,0,0.8348311118851331,33.94459697778441,11063.162339626724,0.0012538433074951172,20.667445295318423,0.9019128522103408,29.83932791769605,0.8997359139376033,2
yacht,outer_2,greedy,4,0.05,0.01,3,246,quantile,0,0.9223812337324784,16.048840321944088,9892.234899079616,0.0006911754608154297,11.826578779293706,0.9438713704575088,24.664915137953095,0.9171226248481676,2
yacht,outer_2,greedy,4,0.05,0.001,3,246,quantile,0,0.985294046448388,3.0011289894264004,6383.561086369246,0.0007014274597167969,2.438319523485537,0.9884278001445727,7.224049459547681,0.9757262389176818,2
yacht,outer_2,greedy,4,0.05,0.0001,3,246,quantile,0,0.9861881260345496,2.795047723476058,5816.825592516389,0.0006780624389648438,2.3066182374395714,0.9890528509587342,6.741051758780338,0.9773491750364595,2
