dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
energe_h,outer_0,greedy,4,0.1,0.1,3,614.0,quantile,0,0.8982826629310935,10.55024458015941,15264.982273798703,0.0024812221527099,10.15927583810936,0.901981433375356,10.316365546406637,0.8892754509509276,1.0,full
energe_h,outer_0,greedy,4,0.1,0.01,3,614.0,quantile,0,0.9143777964545372,8.871322912931664,12098.71610048897,0.0001482963562011,8.428117216485274,0.9186839709769992,9.518106221611966,0.897843090723337,1.0,full
energe_h,outer_0,greedy,4,0.1,0.001,3,614.0,quantile,0,0.915769031521125,8.72295176352097,11515.908745210892,0.0001411437988281,8.260563798470297,0.9203005572503318,9.656130273104583,0.8963616919893836,1.0,full
energe_h,outer_0,greedy,4,0.1,0.0001,3,614.0,quantile,0,0.9157651064823394,8.722837728079456,11440.655997392189,0.0001466274261474,8.254052225815087,0.9203633821040228,9.68623738477362,0.8960385552851123,1.0,full
energe_h,outer_0,greedy,4,0.1,1e-05,3,614.0,quantile,0,0.9157578571484688,8.723537182500605,11432.713200133116,0.0001420974731445,8.253964238748512,0.9203642310194656,9.689847559847047,0.8959998076268217,1.0,full
energe_h,outer_0,greedy,4,0.08,0.1,3,614.0,quantile,0,0.8982826629310935,10.55024458015941,13992.203946303587,0.0024909973144531,10.15927583810936,0.901981433375356,10.316365546406637,0.8892754509509276,1.0,full
energe_h,outer_0,greedy,4,0.08,0.01,3,614.0,quantile,0,0.9143777964545372,8.871322912931664,10825.937772993855,0.0025532245635986,8.428117216485274,0.9186839709769992,9.518106221611966,0.897843090723337,1.0,full
energe_h,outer_0,greedy,4,0.08,0.001,3,614.0,quantile,0,0.915769031521125,8.72295176352097,10243.130417715778,0.0025641918182373,8.260563798470297,0.9203005572503318,9.656130273104583,0.8963616919893836,1.0,full
energe_h,outer_0,greedy,4,0.08,0.0001,3,614.0,quantile,0,0.9157651064823394,8.722837728079456,10167.877669897074,0.0001523494720458,8.254052225815087,0.9203633821040228,9.68623738477362,0.8960385552851123,1.0,full
energe_h,outer_0,greedy,4,0.08,1e-05,3,614.0,quantile,0,0.9157578571484688,8.723537182500605,10159.934872638005,0.000150442123413,8.253964238748512,0.9203642310194656,9.689847559847047,0.8959998076268217,1.0,full
