dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
yacht,outer_0,claritree,4,0.1,0.1,3,20,quantile,0,0.8305315872845932,39.24674268781054,17927.033354718842,0.026128053665161133,22.2668368418121,0.9052388663619438,19.9095248005432,0.9030956280921109,2
yacht,outer_0,claritree,4,0.1,0.01,3,20,quantile,0,0.9170311645782244,19.384022429255655,16606.061021205773,0.024940013885498047,18.397262494102296,0.9217066410391791,17.52422651484793,0.9147054397025798,2
yacht,outer_0,claritree,4,0.1,0.001,3,20,quantile,0,0.9798691028849902,4.542833576342725,13008.914583480499,0.023534297943115234,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,claritree,4,0.1,0.0001,3,20,quantile,0,0.9806001324051845,4.350256576099928,12432.500202258152,0.023473262786865234,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,claritree,4,0.1,1e-05,3,20,quantile,0,0.980586529818606,4.352820818140919,12372.17615750964,0.023334026336669922,3.270318110941997,0.9860824842903592,2.3008017806796452,0.9888014528887585,2
yacht,outer_0,claritree,4,0.08,0.1,3,20,quantile,0,0.8305315872845932,39.24674268781054,15614.844104637543,0.025338411331176758,22.2668368418121,0.9052388663619438,19.9095248005432,0.9030956280921109,2
yacht,outer_0,claritree,4,0.08,0.01,3,20,quantile,0,0.9170311645782244,19.384022429255655,14293.871771124472,0.025341510772705078,18.397262494102296,0.9217066410391791,17.52422651484793,0.9147054397025798,2
yacht,outer_0,claritree,4,0.08,0.001,3,20,quantile,0,0.9798691028849902,4.542833576342725,10696.7253333992,0.023959636688232422,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,claritree,4,0.08,0.0001,3,20,quantile,0,0.9806001324051845,4.350256576099928,10120.310952176853,0.024008750915527344,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,claritree,4,0.08,1e-05,3,20,quantile,0,0.980586529818606,4.352820818140919,10059.986907428342,0.023900508880615234,3.270318110941997,0.9860824842903592,2.3008017806796452,0.9888014528887585,2
yacht,outer_0,claritree,4,0.05,0.1,3,20,quantile,0,0.8305315872845932,39.24674268781054,12146.560229515591,0.03702092170715332,22.2668368418121,0.9052388663619438,19.9095248005432,0.9030956280921109,2
yacht,outer_0,claritree,4,0.05,0.01,3,20,quantile,0,0.9170311645782244,19.384022429255655,10825.58789600252,0.025352001190185547,18.397262494102296,0.9217066410391791,17.52422651484793,0.9147054397025798,2
yacht,outer_0,claritree,4,0.05,0.001,3,20,quantile,0,0.9798691028849902,4.542833576342725,7228.441458277248,0.025377988815307617,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,claritree,4,0.05,0.0001,3,20,quantile,0,0.9806001324051845,4.350256576099928,6652.027077054901,0.024743080139160156,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,claritree,4,0.05,1e-05,3,20,quantile,0,0.980586529818606,4.352820818140919,6591.70303230639,0.024794578552246094,3.270318110941997,0.9860824842903592,2.3008017806796452,0.9888014528887585,2
yacht,outer_0,claritree,4,0.03,0.1,3,20,quantile,0,0.8305315872845932,39.24674268781054,9298.194822292353,0.04777884483337402,15.094496914616757,0.9357622436681572,12.519735610534902,0.939063482029535,3
yacht,outer_0,claritree,4,0.03,0.01,3,20,quantile,0,0.9170311645782244,19.384022429255655,8385.312277732352,0.028568029403686523,10.688095500794327,0.9545145970538016,10.030888318177169,0.9511772911765015,3
yacht,outer_0,claritree,4,0.03,0.001,3,20,quantile,0,0.9798691028849902,4.542833576342725,4916.252208195947,0.025733232498168945,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,claritree,4,0.03,0.0001,3,20,quantile,0,0.9806001324051845,4.350256576099928,4339.8378269736,0.025429248809814453,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,claritree,4,0.03,1e-05,3,20,quantile,0,0.980586529818606,4.352820818140919,4279.513782225089,0.025342226028442383,3.270318110941997,0.9860824842903592,2.3008017806796452,0.9888014528887585,2
yacht,outer_0,claritree,4,0.01,0.1,3,20,quantile,0,0.8300533270024025,39.39154341849094,5829.910947170405,0.05956077575683594,15.094496914616757,0.9357622436681572,12.519735610534902,0.939063482029535,3
yacht,outer_0,claritree,4,0.01,0.01,3,20,quantile,0,0.9170311645782244,19.384022429255655,4917.028402610403,0.0357060432434082,10.688095500794327,0.9545145970538016,10.030888318177169,0.9511772911765015,3
yacht,outer_0,claritree,4,0.01,0.001,3,20,quantile,0,0.9798691028849902,4.542833576342725,2604.0629581146477,0.027439117431640625,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,claritree,4,0.01,0.0001,3,20,quantile,0,0.9806001324051845,4.350256576099928,2027.6485768923012,0.026844263076782227,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,claritree,4,0.01,1e-05,3,20,quantile,0,0.9822467618476752,3.85015977799112,1967.3245321437898,0.02683854103088379,3.270318110941997,0.9860824842903592,2.3008017806796452,0.9888014528887585,2
yacht,outer_0,claritree,4,0.008,0.1,3,20,quantile,0,0.8300533270024025,39.39154341849094,5483.08255965821,0.0597074031829834,15.094496914616757,0.9357622436681572,12.519735610534902,0.939063482029535,3
yacht,outer_0,claritree,4,0.008,0.01,3,20,quantile,0,0.9184828623945097,18.944498361811814,4570.200015098207,0.03979182243347168,10.688095500794327,0.9545145970538016,10.030888318177169,0.9511772911765015,3
yacht,outer_0,claritree,4,0.008,0.001,3,20,quantile,0,0.9798691028849902,4.542833576342725,2372.8440331065176,0.027297258377075195,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,claritree,4,0.008,0.0001,3,20,quantile,0,0.9823260092836437,3.8277205379396757,1796.429651884171,0.026679515838623047,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,claritree,4,0.008,1e-05,3,20,quantile,0,0.9822467618476752,3.85015977799112,1723.2919420413514,0.02703261375427246,1.3088112402920409,0.9944300828299324,0.8416499296155568,0.9959034904844394,3
yacht,outer_0,claritree,4,0.005,0.1,3,20,quantile,0,0.8344066960196687,38.54351016709317,4962.839978389917,0.07343649864196777,15.094496914616757,0.9357622436681572,12.519735610534902,0.939063482029535,3
yacht,outer_0,claritree,4,0.005,0.01,3,20,quantile,0,0.9223642252729757,18.235896247684938,4049.957433829915,0.04019045829772949,10.688095500794327,0.9545145970538016,10.030888318177169,0.9511772911765015,3
yacht,outer_0,claritree,4,0.005,0.001,3,20,quantile,0,0.9812855468411371,4.113983162759414,2026.0156455943225,0.027256250381469727,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,claritree,4,0.005,0.0001,3,20,quantile,0,0.9869818437315528,2.928825790249194,1306.8025150893075,0.030976295471191406,1.3953890011931684,0.994061633245956,0.7094492527744073,0.9965469424845966,3
yacht,outer_0,claritree,4,0.005,1e-05,3,20,quantile,0,0.9855780106338425,3.2268319341684872,1203.0493607730589,0.027724027633666992,1.3088112402920409,0.9944300828299324,0.8416499296155568,0.9959034904844394,3
yacht,outer_0,claritree,4,0.003,0.1,3,20,quantile,0,0.8344066960196687,38.54351016709317,4560.859708768845,0.07900309562683105,14.638990319533479,0.9377007462779509,12.409357961165506,0.9396007161871539,4
yacht,outer_0,claritree,4,0.003,0.01,3,20,quantile,0,0.9268638883757686,17.29754226170937,3703.1290463177197,0.04549288749694824,10.688095500794327,0.9545145970538016,10.030888318177169,0.9511772911765015,3
yacht,outer_0,claritree,4,0.003,0.001,3,20,quantile,0,0.9837781500271553,3.6589203555451673,1744.3139816189075,0.03102564811706543,1.7739143209327304,0.9924507403892807,0.9009740784492498,0.9956147458037254,3
yacht,outer_0,claritree,4,0.003,0.0001,3,20,quantile,0,0.9869818437315528,2.928825790249194,959.9741275771123,0.03200483322143555,1.3953890011931684,0.994061633245956,0.7094492527744073,0.9965469424845966,3
yacht,outer_0,claritree,4,0.003,1e-05,3,20,quantile,0,0.9855780106338425,3.2268319341684872,856.2209732608637,0.028313875198364258,1.3088112402920409,0.9944300828299324,0.8416499296155568,0.9959034904844394,3
yacht,outer_0,claritree,4,0.001,0.1,3,20,quantile,0,0.8344066960196687,38.54351016709317,4098.421858752585,0.09571981430053711,14.638990319533479,0.9377007462779509,12.409357961165506,0.9396007161871539,4
yacht,outer_0,claritree,4,0.001,0.01,3,20,quantile,0,0.9268638883757686,17.29754226170937,3296.8509271189027,0.06091761589050293,10.231813469997803,0.956456399690796,9.70000235014457,0.9527877915388436,4
yacht,outer_0,claritree,4,0.001,0.001,3,20,quantile,0,0.9869731928143001,2.992630220886244,1397.4855941067126,0.04422879219055176,1.7739143209327304,0.9924507403892807,0.9009740784492498,0.9956147458037254,3
yacht,outer_0,claritree,4,0.001,0.0001,3,20,quantile,0,0.9869818437315528,2.928825790249194,582.5029137227054,0.054171085357666016,0.8496686877169042,0.9963840590095121,0.6105784338782129,0.9970281701734108,4
yacht,outer_0,claritree,4,0.001,1e-05,3,20,quantile,0,0.9855780106338425,3.2268319341684872,449.28915657184916,0.05426669120788574,0.8238626662053857,0.9964938818761587,0.6415276743113131,0.9968775328912436,4
yacht,outer_0,claritree,4,0.0005,0.1,3,20,quantile,0,0.8344850649743462,38.52286939861701,3963.2486735391158,0.10406160354614258,14.555753083239225,0.9380549795679407,12.191663200358068,0.9406602881395245,5
yacht,outer_0,claritree,4,0.0005,0.01,3,20,quantile,0,0.9268638883757686,17.29754226170937,3181.2414646148372,0.07030725479125977,10.231813469997803,0.956456399690796,9.70000235014457,0.9527877915388436,4
yacht,outer_0,claritree,4,0.0005,0.001,3,20,quantile,0,0.9869731928143001,2.992630220886244,1310.7784972286638,0.04741621017456055,1.7739143209327304,0.9924507403892807,0.9009740784492498,0.9956147458037254,3
yacht,outer_0,claritree,4,0.0005,0.0001,3,20,quantile,0,0.9869818437315528,2.928825790249194,466.8934512186404,0.05802559852600098,0.8496686877169042,0.9963840590095121,0.6105784338782129,0.9970281701734108,4
yacht,outer_0,claritree,4,0.0005,1e-05,3,20,quantile,0,0.9855780106338425,3.2268319341684872,333.6796940677841,0.05677914619445801,0.8238626662053857,0.9964938818761587,0.6415276743113131,0.9968775328912436,4
yacht,outer_0,claritree,4,0.0001,0.1,3,20,quantile,0,0.8344850649743462,38.52286939861701,3838.2292138513785,0.0843663215637207,14.527814339899045,0.938173878673824,12.166236679506849,0.9407840450376712,6
yacht,outer_0,claritree,4,0.0001,0.01,3,20,quantile,0,0.9263664072052126,17.396440778681782,3078.730861142479,0.08280396461486816,10.182080616702809,0.9566680481431904,9.636570957862245,0.9530965271460438,5
yacht,outer_0,claritree,4,0.0001,0.001,3,20,quantile,0,0.9873352737671522,2.9114369215247584,1229.363984654895,0.05195951461791992,1.671387683171739,0.9928870637203111,0.7542890029512966,0.9963286968021442,4
yacht,outer_0,claritree,4,0.0001,0.0001,3,20,quantile,0,0.9873616988895728,2.8434396659795556,371.4862121696339,0.07272005081176758,0.8092334623166838,0.9965561394816985,0.5457656661699976,0.9973436292619273,5
yacht,outer_0,claritree,4,0.0001,1e-05,3,20,quantile,0,0.9859555545454155,3.141869110172387,237.06933246259473,0.07445621490478516,0.783023797916102,0.9966676801342176,0.5720758701288174,0.9972155712688341,5
