dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
optical_net,outer_0,pilot,4,20,3,504.0,,,0.7957792809630332,0.0086964824593386,0.0183420181274414,0.0078334207593236,0.8168697661224238,0.0214412580262334,0.4122559337117366,3.0,504.0,0,1.0,2.0,
optical_net,outer_0,pilot,4,20,3,252.0,,,0.7957792809630332,0.0086964824593386,0.0182209014892578,0.0078334207593236,0.8168697661224238,0.0214412580262334,0.4122559337117366,3.0,252.0,1,2.0,4.0,
optical_net,outer_0,pilot,4,20,3,126.0,,,0.7957792809630332,0.0086964824593386,0.0299694538116455,0.0078334207593236,0.8168697661224238,0.0214412580262334,0.4122559337117366,3.0,126.0,2,4.0,8.0,
optical_net,outer_0,pilot,4,20,3,64.0,,,0.7957792809630332,0.0086964824593386,0.0192832946777343,0.0078334207593236,0.8168697661224238,0.0214412580262334,0.4122559337117366,3.0,64.0,3,8.0,16.0,
optical_net,outer_0,pilot,4,20,3,32.0,,,0.7941815770627297,0.0087664009319384,0.0186243057250976,0.0078334207593236,0.8168697661224238,0.0214412580262334,0.4122559337117366,3.0,32.0,4,16.0,32.0,
optical_net,outer_0,pilot,4,20,3,24.0,,,0.7924916969402981,0.0088390256277534,0.0265436172485351,0.0078334207593236,0.8168697661224238,0.0214412580262334,0.4122559337117366,3.0,24.0,5,21.0,42.0,
optical_net,outer_0,pilot,4,20,3,20.0,,,0.7924916969402981,0.0088390256277534,0.0311238765716552,0.0083987180811874,0.8036542075632769,0.0217802187272725,0.4029644014473098,3.0,20.0,6,26.0,52.0,
optical_net,outer_0,pilot,4,20,3,16.0,,,0.7907048109828126,0.008917223056472,0.022749900817871,0.0083987180811874,0.8036542075632769,0.0217802187272725,0.4029644014473098,3.0,16.0,7,32.0,64.0,
optical_net,outer_0,pilot,4,20,3,14.0,,,0.766896549063513,0.0098828887457268,0.0223586559295654,0.0083987180811874,0.8036542075632769,0.0217802187272725,0.4029644014473098,3.0,14.0,8,36.0,72.0,
optical_net,outer_0,pilot,4,20,3,12.0,,,0.7558837491228814,0.0103561774927471,0.0161182880401611,0.0083987180811874,0.8036542075632769,0.0217802187272725,0.4029644014473098,3.0,12.0,9,42.0,84.0,
