dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_0,streed,4,20,3,0.1,0.1,0.1,0.8396204608795843,17120033.312402457,2.31775164604187,16805888.249943558,0.8422754789170368,18658740.637679763,0.8330165276078381,3.0
auction,outer_0,streed,4,20,3,0.1,0.1,0.001,0.8396229139072329,17119768.925389092,2.3365960121154785,16805570.667571936,0.8422784594514021,18658612.89423184,0.8330176708277864,3.0
auction,outer_0,streed,4,20,3,0.1,0.01,0.1,0.8697639215259639,13890436.774869949,2.239792585372925,13536321.187060812,0.8729606109060315,16003428.008567512,0.8567798314505706,3.0
auction,outer_0,streed,4,20,3,0.1,0.01,0.001,0.8697640924259197,13890412.14642187,2.2583394050598145,13536198.724460404,0.8729617602267168,16003560.375618774,0.8567786468524092,3.0
auction,outer_0,streed,4,20,3,0.1,0.001,0.1,0.8711572914222505,13735521.47549788,2.244253635406494,13359391.866471233,0.8746211058433115,15966767.50004674,0.8571079189207451,3.0
auction,outer_0,streed,4,20,3,0.1,0.001,0.001,0.8711561993495018,13735629.758048778,2.272379875183105,13359373.024054892,0.8746212826808014,15966975.545499297,0.857106057050603,3.0
auction,outer_0,streed,4,20,3,0.1,0.0001,0.1,0.8711560910330273,13734832.391282668,2.2611513137817383,13355611.713180484,0.8746565828653252,15978813.835121265,0.8570001121346708,3.0
auction,outer_0,streed,4,20,3,0.1,0.0001,0.001,0.8711550673616731,13734931.887669316,2.2709920406341557,13355608.582523398,0.8746566122467767,15979035.470185688,0.856998128646429,3.0
auction,outer_0,streed,4,20,3,0.1,1e-05,0.1,0.8711541156340123,13734958.88494564,2.2904820442199707,13355420.5381868,0.8746583770569725,15980225.422314882,0.8569874793565133,3.0
auction,outer_0,streed,4,20,3,0.1,1e-05,0.001,0.8711530741955286,13735060.256113134,2.282383441925049,13355419.165947376,0.8746583899355423,15980448.864006208,0.8569854797001474,3.0
auction,outer_0,streed,4,20,3,0.08,0.1,0.1,0.8396204608795843,17120033.312402457,10.185323476791382,16805888.249943558,0.8422754789170368,18658740.637679763,0.8330165276078381,3.0
auction,outer_0,streed,4,20,3,0.08,0.1,0.001,0.8396229139072329,17119768.925389092,10.211843490600586,16805570.667571936,0.8422784594514021,18658612.89423184,0.8330176708277864,3.0
auction,outer_0,streed,4,20,3,0.08,0.01,0.1,0.8697639215259639,13890436.774869949,2.409128904342652,13536321.187060812,0.8729606109060315,16003428.008567512,0.8567798314505706,3.0
auction,outer_0,streed,4,20,3,0.08,0.01,0.001,0.8697640924259197,13890412.14642187,2.421125650405884,13536198.724460404,0.8729617602267168,16003560.375618774,0.8567786468524092,3.0
auction,outer_0,streed,4,20,3,0.08,0.001,0.1,0.8711572914222505,13735521.47549788,2.438440084457397,13359391.866471233,0.8746211058433115,15966767.50004674,0.8571079189207451,3.0
auction,outer_0,streed,4,20,3,0.08,0.001,0.001,0.8711561993495018,13735629.758048778,2.423792123794556,13359373.024054892,0.8746212826808014,15966975.545499297,0.857106057050603,3.0
auction,outer_0,streed,4,20,3,0.08,0.0001,0.1,0.8711560910330273,13734832.391282668,2.4310531616210938,13355611.713180484,0.8746565828653252,15978813.835121265,0.8570001121346708,3.0
auction,outer_0,streed,4,20,3,0.08,0.0001,0.001,0.8711550673616731,13734931.887669316,2.424105405807495,13355608.582523398,0.8746566122467767,15979035.470185688,0.856998128646429,3.0
auction,outer_0,streed,4,20,3,0.08,1e-05,0.1,0.8711541156340123,13734958.88494564,2.442243814468384,13355420.5381868,0.8746583770569725,15980225.422314882,0.8569874793565133,3.0
auction,outer_0,streed,4,20,3,0.08,1e-05,0.001,0.8711530741955286,13735060.256113134,2.427629947662353,13355419.165947376,0.8746583899355423,15980448.864006208,0.8569854797001474,3.0
auction,outer_0,streed,4,20,3,0.05,0.1,0.1,0.8739719132145533,13432453.35112755,33.14433431625366,12889117.74293698,0.8790346637468873,15467378.764804186,0.8615771200690763,4.0
auction,outer_0,streed,4,20,3,0.05,0.1,0.001,0.873971342745687,13432510.774187706,33.26258826255798,12889040.81949165,0.8790353856791884,15467379.136301143,0.8615771167444226,4.0
auction,outer_0,streed,4,20,3,0.05,0.01,0.1,0.8697639215259639,13890436.774869949,10.28309440612793,13536321.187060812,0.8729606109060315,16003428.008567512,0.8567798314505706,3.0
auction,outer_0,streed,4,20,3,0.05,0.01,0.001,0.8697640924259197,13890412.14642187,10.243330478668211,13536198.724460404,0.8729617602267168,16003560.375618774,0.8567786468524092,3.0
auction,outer_0,streed,4,20,3,0.05,0.001,0.1,0.8711572914222505,13735521.47549788,10.28153920173645,13359391.866471233,0.8746211058433115,15966767.50004674,0.8571079189207451,3.0
auction,outer_0,streed,4,20,3,0.05,0.001,0.001,0.8711561993495018,13735629.758048778,10.320343255996704,13359373.024054892,0.8746212826808014,15966975.545499297,0.857106057050603,3.0
auction,outer_0,streed,4,20,3,0.05,0.0001,0.1,0.8711560910330273,13734832.391282668,10.294573068618774,13355611.713180484,0.8746565828653252,15978813.835121265,0.8570001121346708,3.0
auction,outer_0,streed,4,20,3,0.05,0.0001,0.001,0.8711550673616731,13734931.887669316,10.360599279403688,13355608.582523398,0.8746566122467767,15979035.470185688,0.856998128646429,3.0
auction,outer_0,streed,4,20,3,0.05,1e-05,0.1,0.8711541156340123,13734958.88494564,10.306328535079956,13355420.5381868,0.8746583770569725,15980225.422314882,0.8569874793565133,3.0
auction,outer_0,streed,4,20,3,0.05,1e-05,0.001,0.8711530741955286,13735060.256113134,10.306316614151,13355419.165947376,0.8746583899355423,15980448.864006208,0.8569854797001474,3.0
auction,outer_0,streed,4,20,3,0.03,0.1,0.1,0.8829409522929145,12484377.219806587,42.33757710456848,12889117.74293698,0.8790346637468873,15467378.764804186,0.8615771200690763,4.0
auction,outer_0,streed,4,20,3,0.03,0.1,0.001,0.8829403597448372,12484436.976759233,42.29168486595154,12889040.81949165,0.8790353856791884,15467379.136301143,0.8615771167444226,4.0
auction,outer_0,streed,4,20,3,0.03,0.01,0.1,0.8697639215259639,13890436.774869949,36.77939987182617,13536321.187060812,0.8729606109060315,16003428.008567512,0.8567798314505706,3.0
auction,outer_0,streed,4,20,3,0.03,0.01,0.001,0.8697640924259197,13890412.14642187,36.99308204650879,13536198.724460404,0.8729617602267168,16003560.375618774,0.8567786468524092,3.0
auction,outer_0,streed,4,20,3,0.03,0.001,0.1,0.8704482328660058,13810472.814990455,37.77934145927429,13359391.866471233,0.8746211058433115,15966767.50004674,0.8571079189207451,3.0
auction,outer_0,streed,4,20,3,0.03,0.001,0.001,0.8704450814490962,13810798.781401137,37.74897694587708,13359373.024054892,0.8746212826808014,15966975.545499297,0.857106057050603,3.0
auction,outer_0,streed,4,20,3,0.03,0.0001,0.1,0.8701433376857076,13841885.919215836,38.11925840377808,13355611.713180484,0.8746565828653252,15978813.835121265,0.8570001121346708,3.0
auction,outer_0,streed,4,20,3,0.03,0.0001,0.001,0.8701400486138908,13842224.880732251,38.07814073562622,13355608.582523398,0.8746566122467767,15979035.470185688,0.856998128646429,3.0
