dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_c,outer_0,streed,4,20,3,0.1,0.1,0.1,0.8473711119205011,13.870948976322518,0.0264890193939209,13.515741689786964,0.851566337657929,15.27615063631096,0.8246408592945476,1
energe_c,outer_0,streed,4,20,3,0.1,0.1,0.001,0.8461311333549933,13.979157776494509,0.005560636520385742,13.542851973509778,0.8512686049257956,15.380297605193146,0.8234453275532694,1
energe_c,outer_0,streed,4,20,3,0.1,0.01,0.1,0.8505140575910252,13.584571364147465,0.0055980682373046875,13.19646666092581,0.8550727054856038,15.090161633864192,0.826775878281085,1
energe_c,outer_0,streed,4,20,3,0.1,0.01,0.001,0.8464932090418668,13.951751319399046,0.005626201629638672,13.335005874270092,0.8535512290260308,15.335481301594552,0.8239597862461525,1
energe_c,outer_0,streed,4,20,3,0.1,0.001,0.1,0.8501981643262222,13.612548148862215,0.005889415740966797,12.690926193255033,0.8606246925537793,14.607365689608056,0.8323180259029861,1
energe_c,outer_0,streed,4,20,3,0.1,0.001,0.001,0.8474145316074576,13.861921729830947,0.005698442459106445,13.37231400766535,0.8531415006513616,15.392499957472445,0.8233052533905285,1
energe_c,outer_0,streed,4,20,3,0.1,0.0001,0.1,0.8501645323272139,13.615529315512584,0.005735635757446289,12.691115706438682,0.8606226112668949,14.609272704401345,0.8322961347549197,1
energe_c,outer_0,streed,4,20,3,0.1,0.0001,0.001,0.847364997488219,13.866353156945038,0.0057332515716552734,13.376261651008015,0.8530981465260445,15.398455274367729,0.8232368906675986,1
energe_c,outer_0,streed,4,20,3,0.1,1e-05,0.1,0.8501611465508434,13.615829460260068,0.005778312683105469,12.691135706540457,0.8606223916201732,14.609465049933231,0.8322939267675808,1
energe_c,outer_0,streed,4,20,3,0.1,1e-05,0.001,0.8473600172033082,13.866798716054163,0.005812168121337891,13.376658821405998,0.8530937846894469,15.399053571944505,0.8232300226449241,1
energe_c,outer_0,streed,4,20,3,0.08,0.1,0.1,0.8951582308492473,9.50647650279412,0.028125286102294922,9.214570999205678,0.8988029993680137,11.719700037942301,0.865466335275971,2
energe_c,outer_0,streed,4,20,3,0.08,0.1,0.001,0.8981179940542146,9.286159994883317,0.028495073318481445,5.549499857588129,0.9390538375965669,6.606437962523828,0.9241628789992199,2
energe_c,outer_0,streed,4,20,3,0.08,0.01,0.1,0.8505140575910252,13.584571364147465,0.02744436264038086,13.19646666092581,0.8550727054856038,15.090161633864192,0.826775878281085,1
energe_c,outer_0,streed,4,20,3,0.08,0.01,0.001,0.8464932090418668,13.951751319399046,0.005941867828369141,13.335005874270092,0.8535512290260308,15.335481301594552,0.8239597862461525,1
energe_c,outer_0,streed,4,20,3,0.08,0.001,0.1,0.8501981643262222,13.612548148862215,0.027118444442749023,12.690926193255033,0.8606246925537793,14.607365689608056,0.8323180259029861,1
energe_c,outer_0,streed,4,20,3,0.08,0.001,0.001,0.8474145316074576,13.861921729830947,0.0058972835540771484,13.37231400766535,0.8531415006513616,15.392499957472445,0.8233052533905285,1
