dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auto_mpg,outer_0,claritree,4,0.1,0.1,3,20,quantile,0,0.8182141347740561,11.45931128766577,6027.635100223463,0.06912088394165039,11.307639593266105,0.817166421150364,12.632789141931653,0.7740188172679148,1
auto_mpg,outer_0,claritree,4,0.1,0.01,3,20,quantile,0,0.8230527035952527,11.081393749480249,5390.919582173873,0.038047075271606445,10.704682284936842,0.8269156567592733,11.815662745484568,0.7886359526792704,1
auto_mpg,outer_0,claritree,4,0.1,0.001,3,20,quantile,0,0.8210576168767975,11.161595553796026,5288.198387513455,0.03373384475708008,10.670424596160458,0.8274695704023852,11.68347393174831,0.7910006073993368,1
auto_mpg,outer_0,claritree,4,0.1,0.0001,3,20,quantile,0,0.8207067449074154,11.177160423004475,5276.772148224995,0.03300023078918457,10.66993284821719,0.8274775214902863,11.670585746154654,0.7912311572320778,1
auto_mpg,outer_0,claritree,4,0.1,1e-05,3,20,quantile,0,0.8206695064032453,11.178824713542516,5275.615381950606,0.03283047676086426,10.669927722576757,0.8274776043669271,11.66930858845935,0.7912540036204151,1
auto_mpg,outer_0,claritree,4,0.08,0.1,3,20,quantile,0,0.8182141347740561,11.45931128766577,5640.4752344087665,0.0991506576538086,11.307639593266105,0.817166421150364,12.632789141931653,0.7740188172679148,1
auto_mpg,outer_0,claritree,4,0.08,0.01,3,20,quantile,0,0.8230527035952527,11.081393749480249,5003.759716359176,0.06410670280456543,10.704682284936842,0.8269156567592733,11.815662745484568,0.7886359526792704,1
auto_mpg,outer_0,claritree,4,0.08,0.001,3,20,quantile,0,0.8210576168767975,11.161595553796026,4901.038521698758,0.05188560485839844,10.670424596160458,0.8274695704023852,11.68347393174831,0.7910006073993368,1
auto_mpg,outer_0,claritree,4,0.08,0.0001,3,20,quantile,0,0.8207067449074154,11.177160423004475,4889.612282410299,0.05070042610168457,10.66993284821719,0.8274775214902863,11.670585746154654,0.7912311572320778,1
auto_mpg,outer_0,claritree,4,0.08,1e-05,3,20,quantile,0,0.8206695064032453,11.178824713542516,4888.455516135909,0.05050063133239746,10.669927722576757,0.8274776043669271,11.66930858845935,0.7912540036204151,1
