dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_2,pilot,4,20,3,1634.0,,,0.7892478063053648,21896621.296871528,0.03124237060546875,14151043.077046538,0.8651117614085503,14076929.748568833,0.8804227761843749,13
auction,outer_2,pilot,4,20,3,817.0,,,0.7892446468801847,21896937.27065086,0.030910968780517578,14151043.077046538,0.8651117614085503,14076929.748568833,0.8804227761843749,13
auction,outer_2,pilot,4,20,3,408.0,,,0.7892428874834406,21897125.043618735,0.02866959571838379,14151492.79904667,0.8651074746426827,14077395.35520825,0.8804188210641657,12
auction,outer_2,pilot,4,20,3,204.0,,,0.7892428874834406,21897125.043618735,0.028328657150268555,14151492.79904667,0.8651074746426827,14077395.35520825,0.8804188210641657,12
auction,outer_2,pilot,4,20,3,102.0,,,0.7892372274850086,21897689.3400975,0.026836395263671875,14154641.850275666,0.8650774577759965,14080246.735090023,0.8803945998670442,11
auction,outer_2,pilot,4,20,3,64.0,,,0.7892376713226988,21897645.223568857,0.02708745002746582,14154641.850275666,0.8650774577759965,14080246.735090023,0.8803945998670442,11
auction,outer_2,pilot,4,20,3,32.0,,,0.7888501887463732,21947071.34254062,0.02622056007385254,14158673.261602283,0.865039030221934,14083504.954113014,0.8803669227533332,11
auction,outer_2,pilot,4,20,3,24.0,,,0.7535554778718531,25443200.405487165,0.024068117141723633,14373067.909029208,0.8629954129283253,14230082.1140787,0.8791218153203535,10
auction,outer_2,pilot,4,20,3,20.0,,,0.7359600749706239,27393741.390513238,0.022122621536254883,14376389.260424152,0.8629637536904184,14230574.777078854,0.879117630368458,10
auction,outer_2,pilot,4,20,3,16.0,,,0.6822771889900102,33057207.11728555,0.02229475975036621,13365446.410800025,0.8726000963656525,13194690.789554432,0.8879170016543609,9
auction,outer_2,pilot,4,20,3,14.0,,,0.6822771889900102,33057207.11728555,0.020107030868530273,15216065.71237874,0.8549599283205,14401560.625236148,0.877665182043461,7
auction,outer_2,pilot,4,20,3,12.0,,,0.6820792064091226,33076945.79293951,0.017068862915039062,16661728.585852036,0.8411798191413988,15394858.05323856,0.869227564538422,6
auction,outer_2,pilot,4,20,3,10.0,,,0.5383521031669334,48416104.12476614,0.01515960693359375,24115056.897460494,0.7701344324428461,22740540.530605495,0.8068292764625776,5
auction,outer_2,pilot,4,20,3,8.0,,,0.5383086451474067,48420598.37441859,0.013933658599853516,24504706.84777397,0.7664202754595857,23306923.231801003,0.8020181086698961,5
auction,outer_2,pilot,4,20,3,6.0,,,0.5383086451474067,48420598.37441859,0.010321378707885742,48170046.07389788,0.5408414325078026,58364122.352894865,0.5042228777120823,3
auction,outer_2,pilot,4,20,3,4.0,,,0.17200544922822805,86774118.09125273,0.008410930633544922,48175256.88556377,0.5407917628683693,58374782.238793634,0.5041323267478639,3
auction,outer_2,pilot,4,20,3,2.0,,,-0.001673590922470621,105016463.75392498,0.0018222332000732422,104909391.84036124,0.0,118481815.76105408,-0.006450046593549308,1
