dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_2,streed,4,20,3,0.1,0.1,0.1,0.828840239957969,25002723.888508976,0.06215667724609375,24614273.060414873,0.8317066706882111,21002719.963529002,0.8576893331678526,2
insurance,outer_2,streed,4,20,3,0.1,0.1,0.001,0.8288405890267879,25002678.52485117,0.06365180015563965,24614182.083807398,0.831707292715769,21002523.87889318,0.857690661802207,2
insurance,outer_2,streed,4,20,3,0.1,0.01,0.1,0.8304720651907903,24771112.187937826,0.0634775161743164,24377568.308114853,0.8333250743977465,20561698.938789025,0.8606776126015035,2
insurance,outer_2,streed,4,20,3,0.1,0.01,0.001,0.8304717492723359,24771164.348127183,0.0643472671508789,24377553.851949695,0.833325173237804,20562302.371662717,0.8606735238484853,2
insurance,outer_2,streed,4,20,3,0.1,0.001,0.1,0.8304892134540652,24769296.3882245,0.06418085098266602,24374756.076627858,0.833344302257882,20534727.832057346,0.860860363987555,2
insurance,outer_2,streed,4,20,3,0.1,0.001,0.001,0.8304888196631225,24769359.97551086,0.06461787223815918,24374754.803958002,0.8333443109594125,20534672.27538538,0.8608607404296087,2
insurance,outer_2,streed,4,20,3,0.1,0.0001,0.1,0.8304891724150241,24769371.402743395,0.06428742408752441,24374725.606880516,0.8333445105864079,20532163.25387542,0.860877741109749,2
insurance,outer_2,streed,4,20,3,0.1,0.0001,0.001,0.8304887706847729,24769436.15493058,0.06507062911987305,24374725.440447193,0.8333445117243501,20532108.7313389,0.8608781105446862,2
insurance,outer_2,streed,4,20,3,0.1,1e-05,0.1,0.8304891504129895,24769381.51969284,0.06496572494506836,24374725.113176215,0.8333445139619755,20531908.830720488,0.8608794650354548,2
insurance,outer_2,streed,4,20,3,0.1,1e-05,0.001,0.8304887478872637,24769446.388595384,0.06706070899963379,24374725.057592217,0.8333445143420157,20531854.411813542,0.8608798337682165,2
insurance,outer_2,streed,4,20,3,0.08,0.1,0.1,0.828840239957969,25002723.888508976,1.1831130981445312,24614273.060414873,0.8317066706882111,21002719.963529002,0.8576893331678526,2
insurance,outer_2,streed,4,20,3,0.08,0.1,0.001,0.8288405890267879,25002678.52485117,1.191169023513794,24614182.083807398,0.831707292715769,21002523.87889318,0.857690661802207,2
insurance,outer_2,streed,4,20,3,0.08,0.01,0.1,0.8304720651907903,24771112.187937826,1.171644926071167,24377568.308114853,0.8333250743977465,20561698.938789025,0.8606776126015035,2
insurance,outer_2,streed,4,20,3,0.08,0.01,0.001,0.8304717492723359,24771164.348127183,1.174140453338623,24377553.851949695,0.833325173237804,20562302.371662717,0.8606735238484853,2
insurance,outer_2,streed,4,20,3,0.08,0.001,0.1,0.8304892134540652,24769296.3882245,1.1842913627624512,24374756.076627858,0.833344302257882,20534727.832057346,0.860860363987555,2
insurance,outer_2,streed,4,20,3,0.08,0.001,0.001,0.8304888196631225,24769359.97551086,1.2014515399932861,24374754.803958002,0.8333443109594125,20534672.27538538,0.8608607404296087,2
insurance,outer_2,streed,4,20,3,0.08,0.0001,0.1,0.8304891724150241,24769371.402743395,1.1885402202606201,24374725.606880516,0.8333445105864079,20532163.25387542,0.860877741109749,2
