dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_h,outer_2,claritree,4,0.1,0.1,3,614,quantile,0,0.8914744999892802,10.909327518684004,15138.551427320788,0.0632927417755127,10.450872725508244,0.8959642454340248,9.757945093813518,0.9080168172161047,1
energe_h,outer_2,claritree,4,0.1,0.01,3,614,quantile,0,0.9069845446751102,9.342317594497407,12168.648086867157,0.0001480579376220703,8.947775662354326,0.9109271907552744,7.872824469961373,0.9257868900384469,1
energe_h,outer_2,claritree,4,0.1,0.001,3,614,quantile,0,0.9087393042186657,9.162581726383197,11637.763003704189,0.000141143798828125,8.786304208602994,0.9125345976171801,7.606871403653418,0.9282938942565432,1
energe_h,outer_2,claritree,4,0.1,0.0001,3,614,quantile,0,0.9088192134341826,9.153912740610131,11566.418920760108,0.00014925003051757812,8.778634964860059,0.912610942969449,7.603436189695491,0.9283262762704155,1
energe_h,outer_2,claritree,4,0.1,1e-05,3,614,quantile,0,0.9088200901945934,9.153749433499462,11558.784480494716,0.00015854835510253906,8.778527931706302,0.9126120084570123,7.60439538845447,0.9283172343918309,1
energe_h,outer_2,claritree,4,0.08,0.1,3,614,quantile,0,0.8914744999892802,10.909327518684004,13904.968630669322,0.09583735466003418,10.450872725508244,0.8959642454340248,9.757945093813518,0.9080168172161047,1
energe_h,outer_2,claritree,4,0.08,0.01,3,614,quantile,0,0.9069845446751102,9.342317594497407,10935.06529021569,0.05201435089111328,8.947775662354326,0.9109271907552744,7.872824469961373,0.9257868900384469,1
energe_h,outer_2,claritree,4,0.08,0.001,3,614,quantile,0,0.9087393042186657,9.162581726383197,10404.180207052723,0.031472206115722656,8.786304208602994,0.9125345976171801,7.606871403653418,0.9282938942565432,1
energe_h,outer_2,claritree,4,0.08,0.0001,3,614,quantile,0,0.9088192134341826,9.153912740610131,10332.836124108642,0.029122114181518555,8.778634964860059,0.912610942969449,7.603436189695491,0.9283262762704155,1
energe_h,outer_2,claritree,4,0.08,1e-05,3,614,quantile,0,0.9088200901945934,9.153749433499462,10325.20168384325,0.028964519500732422,8.778527931706302,0.9126120084570123,7.60439538845447,0.9283172343918309,1
energe_h,outer_2,claritree,4,0.05,0.1,3,614,quantile,0,0.8955316965513186,10.511775692199214,12054.594435692125,0.1249091625213623,10.450872725508244,0.8959642454340248,9.757945093813518,0.9080168172161047,1
energe_h,outer_2,claritree,4,0.05,0.01,3,614,quantile,0,0.9676771779147396,3.2480312319302773,8564.040235078566,0.07618594169616699,3.064199536726726,0.9694966803905294,3.6273862542572033,0.9658064756826038,2
energe_h,outer_2,claritree,4,0.05,0.001,3,614,quantile,0,0.9678191371396618,3.2333149973292734,8085.532093916736,0.06859803199768066,3.033321848409289,0.9698040598494254,3.534934322511476,0.9666779729963039,2
energe_h,outer_2,claritree,4,0.05,0.0001,3,614,quantile,0,0.9677174581391635,3.2434717094974754,8035.6055054876015,0.06802821159362793,3.0327377890199836,0.9698098740106801,3.516915947146727,0.9668478230516906,2
energe_h,outer_2,claritree,4,0.05,1e-05,3,614,quantile,0,0.9676925246223101,3.245969720977716,8030.567258605857,0.05989480018615723,3.0327241725511875,0.9698100095591307,3.513446460571785,0.9668805281360829,2
energe_h,outer_2,claritree,4,0.03,0.1,3,614,quantile,0,0.9614451190906954,3.8687794967055424,8773.086500458488,0.16736078262329102,3.6504395284027717,0.9636608117992006,4.670224273463598,0.9559761723541426,3
energe_h,outer_2,claritree,4,0.03,0.01,3,614,quantile,0,0.9676771779147396,3.2480312319302773,6096.874641775636,0.08140063285827637,3.064199536726726,0.9694966803905294,3.6273862542572033,0.9658064756826038,2
