dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_3,greedy,4,0.1,0.1,3,5,quantile,0,0.022349947410848836,311798677209.52484,1770698318503968.8,0.02547144889831543,311227089407.8862,0.02470218191738016,309256562972.6483,0.020276363454184043,1
walmart,outer_3,greedy,4,0.1,0.01,3,5,quantile,0,0.022552024968527262,311731012323.62946,1766397120115385.0,0.02596116065979004,311106807178.5518,0.02507911246043526,309405450264.9628,0.019804689068167125,1
walmart,outer_3,greedy,4,0.1,0.001,3,5,quantile,0,0.022536822909635473,311735555690.0598,1765903054519177.8,0.025762081146240234,311105221919.6931,0.025084080214074267,309436839563.5727,0.019705247887397692,1
walmart,outer_3,greedy,4,0.1,0.0001,3,5,quantile,0,0.02253482578411266,311736162484.95996,1765852902302366.5,0.0245816707611084,311105205580.8311,0.02508413141545429,309440194227.13025,0.019694620325775736,1
walmart,outer_3,greedy,4,0.1,1e-05,3,5,quantile,0,0.022534621146218254,311736224739.087,1765847879499007.2,0.025502443313598633,311105205416.9432,0.025084131929032805,309440531914.60345,0.01969355053312183,1
walmart,outer_3,greedy,4,0.08,0.1,3,5,quantile,0,0.022349947410848836,311798677209.52484,1737842773734646.2,0.025657176971435547,311227089407.8862,0.02470218191738016,309256562972.6483,0.020276363454184043,1
walmart,outer_3,greedy,4,0.08,0.01,3,5,quantile,0,0.022552024968527262,311731012323.62946,1733541575346062.5,0.025731325149536133,311106807178.5518,0.02507911246043526,309405450264.9628,0.019804689068167125,1
walmart,outer_3,greedy,4,0.08,0.001,3,5,quantile,0,0.022536822909635473,311735555690.0598,1733047509749855.2,0.026374101638793945,311105221919.6931,0.025084080214074267,309436839563.5727,0.019705247887397692,1
walmart,outer_3,greedy,4,0.08,0.0001,3,5,quantile,0,0.02253482578411266,311736162484.95996,1732997357533044.0,0.02513909339904785,311105205580.8311,0.02508413141545429,309440194227.13025,0.019694620325775736,1
walmart,outer_3,greedy,4,0.08,1e-05,3,5,quantile,0,0.022534621146218254,311736224739.087,1732992334729684.8,0.024924516677856445,311105205416.9432,0.025084131929032805,309440531914.60345,0.01969355053312183,1
